焚城,ed2k://|file|%E7%84%9A%E5%9F%8E.Cesium.Fallout.2024.V2.Blu-ray.1080p.AVC.TrueHD.7.1-sh@CHDBits.iso|48698032128|42C27B71489AD09148D648ECD1EF7586|h=SP2QQORFSD6LL2XI76O2YDFHC7CDTVJA|/
唐人街探案,ed2k://|file|Detective.Chinatown.2015.USA.Blu-ray.1080p.AVC.TrueHD.5.1-DIY@Hero.iso|27911716864|A8E1C5A46360D3A02C14973756DE1C04|h=YUYTBDMVIHAGWV55T3LVBUQIL7MHRX6Q|/
时空特警,ed2k://|file|Timecop.1994.2160p.UHD.Blu-ray.DV.HDR.HEVC.DTS-HD.MA.5.1-DIY@HDSky.iso|70657179648|2357B16E462A635BDB91FA2BA7BBCD99|h=RVFOW33VILDEA7BFPE4VTH2MUIIHIZGA|/
破·地狱,ed2k://|file|The.Last.Dance.2024.1080p.Blu-ray.AVC.TrueHD.7.1-Thor@HDSky.iso|38841614336|C83607011C83E7A90A64E8CEC6D957FC|h=XATIY2EYBWW2TSJWVJOZ3VPC6IOXWH3Q|/
满清十大酷刑,ed2k://|file|[满清十大酷刑.A.Chinese.Torture.Chamber.Story.1994][2D美版.自带次世代粤语.追加简繁中字][CHDBits][45.07GB].iso|48394323968|D3A8B72FB7938479EC335D1FD686B97F|h=MONVWS53MJDIFRXLHKQ7PGPVQND4V671|/
满清十大酷刑之赤裸凌迟,ed2k://|file|[满清十大酷刑之赤裸凌迟.A.Chinese.Torture.Chamber.Story.2.1998][2D美版.自带次世代粤语.次世代国语.对应国语简体中字.粤语繁体中字.菜单定制][CHDBits][34.44GB].iso|36984545280|20F78547AFADA613C7BE5AFDF6F07724|h=LF6HXGLMBYOEB4FHJGWDY5UNVVVTV671|/
处女器官 PG18,ed2k://|file|Guts.of.a.Virgin.1986.GBR.BluRay.1080p.AVC.LPCM.2.0-FFansDIY@%E8%87%B3%E5%B0%8A%E5%AE%9D.iso|27524333568|F0DF4300B89971FA8FF5169339C4F7FE|h=RO7B66BJUYMYDX7I5EEY37YOQIP2JRCJ|/
美女器官 PG18 ,ed2k://|file|Guts.of.a.Beauty.1986.GBR.BluRay.1080p.AVC.LPCM.2.0-FFansDIY@%E8%87%B3%E5%B0%8A%E5%AE%9D.iso|25516572672|4C1B4398C870103B934BBD016876247F|h=IEH6Y3VT6ABW4MELETLL43U2ZOCZJ6UJ|/
大佬,ed2k://|file|Brother.2000.1080p.JPN.BluRay.AVC.DTS-HD.MA.5.1-DIY@Audies.iso|41506111488|C3AE614903E6A823B7EAE4A6DC9D432E|h=US5Q5XA3G7L32L6KI7TMRXMA6H4YSXA6|/
风都侦探剧场版：假面骑士颅骨的肖像,ed2k://|file|Fuuto.PI.Portrait.of.Kamen.Rider.Skull.2024.1080p.BluRay.AVC.LPCM.5.1-DIY@Audies.iso|45958365184|3A6C89B596F78CC0AA35A685D42CEF18|h=RG4CI2RRWXK7YAQRJJ7WIMV6WSN6I72S|/
新金瓶梅2：爱的奴隶,ed2k://|file|%5B%E9%87%91%E7%93%B6%E6%A2%852%EF%BC%9A%E7%88%B1%E7%9A%84%E5%A5%B4%E9%9A%B6.iso|22640656384|3CCCBA8A3D0CF8E545B3F9EEA32C75E5|/
仁义的墓场,ed2k://|file|Graveyard.Of.Honor.1975.1080p.GBR.Blu-ray.AVC.DTS-HD.MA.1.0-DIY@Weirdo.iso|33467858944|676C68AAEF0CDEC04F9B0145DC35C749|h=O6VKXYKLD2T4LLCGYZTRLHDC2QCBUW2H|/
狮子王 木法沙传奇,ed2k://|file|Mufasa.The.Lion.King.2024.1080p.Blu-ray.AVC.DTS-HD.MA7.1-DiY@HDHome.iso|46273003520|B30CFE41C9F22B76C4CC24F1795280D7|h=G5C4CCXSUY2BPM746DZHOJ7WMILF7GKY|/
毒液:最后一舞,ed2k://|file|Venom.The.Last.Dance.2024.BluRay.1080p.AVC.DTS-HD.MA5.1-nn@CHDBits.iso|43365761024|9AD3BCEB5ED7A6669BBA53C37973DC3E|h=MK5PWW2SOLAUR2UBRBZOUKGUZTTZBROX|/
小丑2：双重妄想 - Joker: Folie à Deux,ed2k://|file|Joker.Folie.a.Deux.2024.1080p.Blu-ray.AVC.TrueHD.7.1-Thor@HDSky.iso|48657334272|D7850267F7B74FDD81ED7F180A69807E|h=NTQBPMI2GBOUQKB5GBSPUZ622IZ7FOFN|/
壳中少女：燃烧,ed2k://|file|Mardock.Scramble.The.Second.Combustion.2011.1080p.BluRay.AVC.DTS-HD.MA.5.1-DIY@Audies.iso|46330085376|98C3B66F5B826801E5B52C2A6AD80279|h=NWE2AU6ZMW6LJ3TIEAXMKIVJCZ5BHZPV|/
壳中少女：压缩,ed2k://|file|Mardock.Scramble.The.First.Compression.2010.1080p.BluRay.AVC.DTS-HD.MA.5.1-DIY@Audies.iso|45601914880|7986D84C2990952FCE8B294FF455800A|h=HNVBFFOSJKWUTMAXN3FLEY6JZQZT5DE7|/
岁月的童话,ed2k://|file|Only.Yesterday.1991.1080p.BluRay.AVC.DTS-HD.MA.2.0-DIY@Audies.iso|45891125248|F94C1E276815C472CC3C8CA551AE69A0|h=RNEIVWGFOODHLVBCWUF5HK7LJQK567RB|/
八甲田山,ed2k://|file|[八甲田山.Mount.Hakkoda.1977][2D日版.追加简繁中字][43.62GB].iso|46837727232|7D56A14FE0D6FCC7887D7EA95CE7C88B|h=MR4LMOE4Q7E2ZTJVARUCYGDMHXSV6631|/
孟菲斯美女号,ed2k://|file|Memphis.Belle.1990.Blu-Ray.1080p.AVC.DTS-HD.MA.5.1-BHYS@OurBits.iso|27276214272|593A424BA0171A0D38E28A598B6D2246|h=OIH2BMIACSDN75IDXI7LCIJOB5BO74FM|/
摩登保镖,ed2k://|file|Security.Unlimited.1981.HKG.Blu-ray.1080p.AVC.DTS-HD.MA7.1.iso|23467720704|886343A29FFC5F54E1249EB570561503|h=LT7CTTAODK7KFJBEMQ4F7ADT26NW37JG|/
阿凡达：水之道,ed2k://|file|Avatar.The.Way.of.Water.2022.V2.BluRay.1080p.AVC.DTS-HD.MA5.1-nn@CHDBits.iso|59036467200|BC5C9C8A6CE6DBAEC89116F3FC2FB9E1|h=ZB6O7FBKMULDOJZIM6TTP7BICEX4P23F|/
笼中女囚,ed2k://|file|%E7%AC%BC%E4%B8%AD%E5%A5%B3%E5%9B%9A%20Barbed%20Wire%20Dolls%201976%20COMPLETE%20BluRay%20AVC%201080P%20DTS%202.0%20-Mpinking@HDSky.iso|30789861376|6BDACCA618F6C2F8764EE4C0EC4F3B50|h=BNE7L47BRUJVSXQWJFXK5RN3KFXDOTB2|/
笼中女,ed2k://|file|Women.in.Cages.1971.iso|23753261056|9E240997697E64D86262CFB070047661|h=3F42NOSZX3BRCEXAWNVWF5ZNPEEYB4D5|/
天元突破红莲螺岩·红莲篇,ed2k://|file|Tengen.Toppa.Gurren.Lagann.The.Movie.The.Crimson.Lotus.Chapter.2008.2160P.Ultra-HD.Blu-ray.HEVC.Atmos.7.1-SweetDreamDay.iso|86398599168|8A5509C19087A58F679405806113098C|h=BL4YTSXD4XK2KKHZ63W46XJAL4VXH7U7|/
龙兄虎弟,ed2k://|file|Armour.of.God.1986.CHN.BluRay.1080p.AVC.DTS-HD.MA.7.1-DIY@HDSky.iso|23040688128|8E4314416B771044235A184B11011F06|h=4AVKNI3U47TDOWWNWFYPPQ55ERXMTMMH|/
老狐狸,ed2k://|file|%E8%80%81%E7%8B%90%E7%8B%B8.Old.Fox.2023.1080p.TWN.Blu-ray.AVC.DTS-HD.MA.7.1-Thor@HDSky.iso|47769452544|72BAF995BF48814946B0A9CBAE332953|h=UMHCKMXENTLTI7FJCRID5NSKXNZJ3G6O|/
奇迹,ed2k://|file|Miracles.The.Canton.Godfather.1989.2160p.CHN.UHD.Blu-ray.DoVi.HDR10.HEVC.DTS-HD.MA.5.1-Thor@HDSky.iso|88827756544|C6C523C5D76D171BECF24594B5CF182D|h=25EGMEULSEL6G7LID3TURE7RGLU5CBVX|/
浴血狂沙,ed2k://|file|Tobruk.1967.1080p.GER.Blu-ray.AVC.DTS-HD.MA.2.0-DIY-Runrun.iso|22178168832|2475D8874CB3639E6EB528890FCA50E0|h=OCTCX3NSNNS77JIRRS6QWWKU5LI66G44|/1111
洞,ed2k://|file|Le.Trou.1960.1080p.BluRay.AVC.LPCM.2.0-DIY@Audies.iso|34210578432|57A5314880EA664BA5D2FFF7C0726036|h=SPGAEENRVAOXU7UULSUIYZ3ZLWABK7LY|/
修罗,ed2k://|file|Shura.1971.1080i.JPN.BluRay.AVC.LPCM.2.0-DIY@Audies.iso|24952635392|F8CFE2971F3AC64BE70AB09FBE85BFDF|h=WBZKJ4LNJZZ7KIDBW3NNFMWSVXKDKKMB|/
怒,ed2k://|file|Ikari.AKA.Rage.2016.JPN.BluRay.1080p.AVC.DTS-HD.MA.5.1-SPM@HDSky.iso|40090075136|9CFAA7C9D475DD8DDC9542B87E22F521|h=BC66P5JSYFX5ZTG3G3J67FQ4KVF3W7NX|/
解放,ed2k://|file|Liberation.1969-1971.Disc1.BluRay.1080p.AVC.DD.2.0-shiwo%40CHDBits.iso|44977291264|7AAA28AACA156D529EBF80ABBA71467A|/
幽国车站,ed2k://|file|Una.pura.formalita.1994.DUAL.COMPLETE.BLURAY.iNTERNAL-DIY-Runrun.iso|43623186432|223C23CBE6B9D7B072D9C2C952236AB9|h=DNKJORTDZ2QZCU3G4A5MWSN2OQ4ZXIBC|/
末代皇帝加长版,ed2k://|file|The.Last.Emperor.1987.1080p.Extended.Criterion.Collection.BluRay.AVC.DTS-HD.MA.2.0-DIY@Audies.iso|50207850496|682D5FFA3CFBD6A5D893830AB367F1D1|h=Z3L6VCIOSHSVAIKPREBX2A7C4LWR6ZLI|/
杀出个黎明,ed2k://|file|From.Dusk.Till.Dawn.1996.1080p.GER.Blu-ray.AVC.DTS-HD.MA.5.1-DIY@HDSky.iso|35926441984|A9C28EB9D19D69B127CBE44048A3E546|h=2RGC2ZHNPLAFDONR2XRJUGLNUM7ESKYV|/
刑房,ed2k://|file|%E5%88%91%E6%88%BF.Death.Proof.2007.BluRay.1080p.AVC.TrueHD.5.1-TTG.iso|39246954496|823D5B98FC34EE571E557DF97100B73E|h=UIRDJUQLNA6BP7ZOGLTE4IDKTN6MIEHI|/
一切善良的市民们,ed2k://|file|All.My.Good.Countrymen.1969.1080p.Blu-ray.AVC.LPCM.2.0-DIY@UBits.iso|43576262656|BB1326A543444A17F2C3625F83936F10|h=EGUDCF35XJBQNYYSHG3W3QPZPE654OMZ|/
但丁的地狱,ed2k://|file|%E4%BD%86%E4%B8%81%E7%9A%84%E5%9C%B0%E7%8B%B1.Dante's.Inferno.AKA.L'Inferno.1911.Terror.Vision.1080i.Blu-ray.AVC.DTS-HD.2.0-NAD@HDSky.iso|49409622016|97E7249CA8C0DDA7FF9F6A5CAA3C6E03|h=ZEOR4LNQHRDYJTAAHSVNEUUS3IMVOS6T|/
坠机惊魂,ed2k://|file|Odna.2022.1080p.GER.Blu-ray.AVC.DTS-HD.MA.5.1-DIY@HDSky.iso|24136384512|253E010CA93815E102D3F0B1F2A49DBE|h=SX2OBYZYDDLLOYEXQUE53B7TKEMOTZS5|/
死而复生,ed2k://|file|[死而复生.The.Resurrected.1991][DiY简繁字幕][HDHome][45.15GB].iso|48477552640|175D2DAACC1D1B40D5CC23477B05CECA|h=H5ZORF6VY6A4XPNFEOIM26TTEYNV6631|/
午夜之眼,ed2k://|file|[午夜之眼1-2.Goku.Midnight.Eye.1989][2D美版.追加简繁中字][C][21.33GB].iso|22900506624|BAC9FF7DCBCB469CC5B76CAC775E6EBB|h=55X5ZREVC3HUPCQR4ZQSYXGIOXVV6631|/
少林英雄榜,ed2k://|file|[少林英雄榜.Shaolin.Abbot.1979][2D美版.自带次世代国语.追加简繁中字][33.70GB].iso|36184915968|93F826CAA5DF188509EED8588AEF84F2|h=4KXQ3F64AR4M74DF7RCK67R4PMWV6631|/
绝代双骄,ed2k://|file|The.Proud.Twins.1979.1080p.GER.Blu-ray.AVC.DTS-HD.MA.2.0-DIY@BDshare.iso|44849102848|4434E1E2374E79AC722CCBB1613EDC83|h=4PHFAPMWLA24YPA4C7VAVP6R7VZV6631|/
记忆之夜,magnet:?xt=urn:btih:98A31E85595D489870600078B683FEDA4635A080
弯刀,ed2k://|file|[弯刀Machete2010][DIY简繁中字][CHDBits][38.32GB].iso|41144483840|A7BA9D648906769B448E9470058A88C2|h=DTM4I6XFVCWNMIQOXQGIMKB33ELV6631|/
昼颜：工作日下午3点的恋人们,ed2k://|file|[昼颜：工作日下午3点的恋人们第1碟Hirugao：LoveAffairsintheAfternoon2014][日版DIY粤语Viu官方简繁中文][TTG-363781][23.22GB].iso|24935268352|B3E6F6599057F5B475D46A7172814975|h=GO62NZNOIAYDPS7XFRBGQFISTSYG4E5O|/
,ed2k://|file|[昼颜：工作日下午3点的恋人们第2碟Hirugao：LoveAffairsintheAfternoon2014][日版DIY粤语简繁中字][Solitude@DoA-TTG-365816][22.70GB].iso|24369823744|633C0A0217DE1E003EFC126EF5715F95|h=2BBLKLOSXEF2YFVG2KHH7QRTDU4VANMI|/
感官世界,ed2k://|file|In.the.Realm.of.the.Senses.1976.FRA.UHD.Blu-ray.2160p.HEVC.DTS-HD.MA.1.0-DIY@Hero.iso|97592672256|9B91D75B0114747511AAF584610D7EC2|h=DFDXZKL2JGS57XQV3I6PHBDQES5V6631|/
弯刀杀戮,ed2k://|file|[弯刀杀戮MacheteKills2013][DIYR3简繁中字][mm@MTeam][29.64GB].iso|31831031808|67F8CB42F25209E242A7FB8D7D6D4DE1|h=L6GYNZITQVGEX24HNHXKI2I4DYYV6631|/
美少女战士Crystal,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc01.iso|19039322112|EE815B8B7B320E3CAE695E6AAE777AD4|h=3YYYI6OYZDPLF6MDV5VO7W5G7GIGZX3O|/
,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc02.iso|17366646784|27DB19B009294CD12AE252486913EC8D|h=S4YZ36LI4IXCGOAVYWY2VUE5ZXT5OQWD|/
,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc03.iso|17365008384|1B9EFE29810BA8F26E3B0070C36772CD|h=CVRB43X3E4LQ4ARBRFZEJHXT3CT75RV7|/
,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc04.iso|17386569728|335D81F45B99591584EC7B5F0DB96D4A|h=AER7BXKUBJMUF2LAWJYY2ITQHHWVW3VQ|/
,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc05.iso|17379098624|E4B343005331C7695129C16F69C61A0D|h=OOLLZIJW2XFEB6S4ECY4ADR54IR63U6J|/
,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc06.iso|17374707712|04F3DA9642B9CB59B3F838851B584541|h=UZPO53WBI4VUGRUVICJOOHTYKNK3CIYK|/
,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc07.iso|17357209600|C2ABEDD629A826EA54876B67A91A4E7E|h=ENUQA2K4PYYPQO3DG7P3HQVMOJQS2BQU|/
,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc08.iso|17331716096|64CC4BE8F79A127FBA8791FD40D581F5|h=MQNF4KNKVCNST2YR4MM6WEDII6SCQ3FZ|/
,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc09.iso|17334140928|A6E7A7376103937D7A9B433CE004CF2E|h=DQG7Z2LHJND656APJIFK2RAWAXGYFFWT|/
,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc10.iso|17362518016|92609D909B85AE58BD459029998D30D0|h=2IGGJCSP4JQ6EVVGAGSHCBF3LFPBN6BL|/
,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc11.iso|17326014464|853837B4195243601CE7C166613FB4F6|h=CITGBBWJWQMYAENIVVXZQIC3MLD7X3QQ|/
,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc12.iso|17375035392|75543360CEC8FB1A00A34A3E596BCD9C|h=WR6NULEUGGOLD27Y4ZPMVTOKHUMUXGLD|/
,ed2k://|file|[美少女战士Crystal.美少女戦士セーラームーンCrystal.2014][DISCx13][DIY中字][211.59GB]Disc13.iso|17195794432|5F2E9B62D0BE4E03BC022CD0749805E1|h=YT67Z7QLKS5YBRX2HQH4WIJBSUI7GPSG|/
派对浪客诸葛孔明,ed2k://|file|[派对浪客诸葛孔明.Paripi.Koumei.2022.DISC.1][碟一.DIY官譯繁简中字][TTG][29.90GB].iso|32186695680|A617258B8490573B87CD46919EE03A48|h=4ESJ6BIKHVBBABM72EPSTCNM6WLLVANZ|/
,ed2k://|file|[派对浪客诸葛孔明.Paripi.Koumei.2022.DISC.2][碟二.DIY官譯繁简中字][TTG][26.30GB].iso|28342681600|5409B9CAF7F376BAFC6A84B42650FC2A|h=NILG2YSHR7CXI55FV6STX43NRELOWMUL|/
,ed2k://|file|[派对浪客诸葛孔明.Paripi.Koumei.2022.DISC.3][碟三.DIY官譯繁简中字][TTG][26.60GB].iso|28659089408|206FC8601FA28A08EB1CE24691394FBD|h=ZBDOHD5BXOKEJNV3ZYDKOVI4HY6NFXKX|/
飞行员小姐,ed2k://|file|[飞行员小姐.Miss.Pilot.E01-E04.2013][DIY粤语+HK.J2繁简中字][ABCD@TTG][43.80GB].iso|47033221120|B78D113F23E84A5587832C852386A7F6|h=NHFRIYNYLK5Z2VK4NANYTCPPUGACITOW|/
,ed2k://|file|[飞行员小姐.Miss.Pilot.E05-E07.2013][DIY粤语+HK.J2繁简中字][ABCD@TTG][42.05GB].iso|45150699520|620E04109162E52BEE273A8899D93292|h=34XVVUKRDS3KTPABQ27RM3Q7WDISQFH7|/
